,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,tuatapere,29.0605,-13.564,18,59,20,1.03,ES,1619819439
135,vostok,-4.9833,12.9333,23.09,99,100,0.2,CD,1619819442
136,pisco,37.9333,-121.3011,30,16,1,3.09,US,1619819444
137,camacha,26.1842,127.7558,23,94,75,3.6,JP,1619819447
138,bengkulu,38.0833,138.4333,14,77,75,4.12,JP,1619819449
139,nome,52.4201,136.4853,0.48,75,69,4.08,RU,1619819452
140,lac du bonnet,49.1499,-55.3482,10,62,75,9.26,CA,1619819454
141,marion,21.2667,-97.45,27.81,72,95,7.34,MX,1619819457
142,teguise,55.2166,-119.4361,16,31,75,9.77,CA,1619819459
143,tshela,0.5333,72.9333,28.38,70,32,1.55,MV,1619819462
144,san joaquin,-5.5569,-80.8222,25.65,59,63,5.59,PE,1619819464
145,nishihara,24.6833,81.55,30.23,17,6,2.8,IN,1619819467
146,ryotsu,18.217,-63.0578,28,69,40,6.17,AI,1619819360
147,imeni poliny osipenko,26.326,43.975,25,27,0,2.06,SA,1619819471
148,botwood,4.4683,97.9683,23.5,94,100,1.14,ID,1619819474
149,tamiahua,-7.3881,109.3639,11.11,100,100,0.7,ID,1619819476
150,beaverlodge,24.8,125.2833,23,100,75,3.6,JP,1619819479
151,thinadhoo,-22.6667,167.4833,23.52,67,90,8.96,NC,1619819481
152,sechura,-13.6202,29.3939,17.52,88,9,1.9,ZM,1619819488
153,mangawan,29.5833,-9.5,12.35,76,34,4.04,MA,1619819490
154,the valley,-29.9533,-71.3436,16,72,0,5.14,CL,1619819493
155,buraydah,-22.9661,-42.0278,23,68,40,1.54,BR,1619819495
156,langsa,39.8161,109.9776,6.14,45,78,2.11,CN,1619819498
157,purbalingga,65.6145,-37.6368,-1,86,41,2.57,GL,1619819505
158,hirara,-9.8,-139.0333,26.13,69,1,1.9,PF,1619819316
159,vao,37.2153,-93.2982,26,29,1,2.57,US,1619819496
160,sentyabrskiy,-13.8833,167.55,29,74,90,2.06,VU,1619819512
161,cholan,46.3834,-82.6331,8,49,1,12.86,CA,1619819514
162,mkushi,71.9167,114.0833,-0.97,89,100,3.58,RU,1619819516
163,tiznit,-2.5744,150.7967,28.44,73,96,2.86,PG,1619819519
164,coquimbo,42.25,-2.5,10,81,90,3.09,ES,1619819521
165,arraial do cabo,-43.3002,-65.1023,19.13,31,100,0.93,AR,1619819430
166,dongsheng,66.5606,67.7975,-11.47,94,68,1.9,RU,1619819526
167,karauzyak,-20.3167,118.5667,21,83,3,2.57,AU,1619819528
168,amderma,19.9333,-105.25,31.02,45,20,4.94,MX,1619819531
169,tasiilaq,37.3394,-121.895,24.44,56,90,5.14,US,1619819457
170,atuona,68.75,161.3,-10.22,88,89,0.77,RU,1619819536
171,springfield,13.0609,5.239,31.22,14,5,1.37,NG,1619819538
172,sola,-8.9266,125.4092,14.12,90,47,1.5,TL,1619819540
173,elliot lake,57.0531,-135.33,8,87,90,4.63,US,1619819543
174,saskylakh,34.6851,135.8049,14.44,82,40,4.12,JP,1619819353
175,kavieng,66.7131,27.4306,-8.27,89,82,2.66,FI,1619819548
176,la rioja,47.26,39.87,15.56,94,20,3,RU,1619819550
177,rawson,10.9167,-13.3333,24.85,56,35,1.67,GN,1619819553
178,aksarka,20.8947,-156.47,27,78,40,8.75,US,1619819387
179,port hedland,21.4612,-71.1419,25.95,74,42,6.16,TC,1619819557
180,tomatlan,51.0521,25.4006,10.56,80,83,0.45,UA,1619819560
181,san jose,8.4689,-0.0113,29.82,53,94,3.43,GH,1619819562
182,cherskiy,50.5667,123.7167,2.61,85,57,1.3,CN,1619819567
183,sokoto,-40.8135,-62.9967,21.03,38,99,4.85,AR,1619819569
184,airai,40.8333,-6,10,62,0,3.09,ES,1619819572
185,sitka,-31.95,141.4333,14,54,100,4.63,AU,1619819576
186,nara,-38.0023,-57.5575,18.33,68,0,2.57,AR,1619819579
187,kemijarvi,-20.6264,-49.6492,27,41,0,2.57,BR,1619819584
188,aksay,9.49,76.3264,27.32,81,70,1.38,IN,1619819586
189,telimele,-45.4167,167.7167,6.17,85,100,0.35,NZ,1619819589
190,kahului,43.4065,-124.2243,17.78,72,1,5.14,US,1619819591
191,cockburn town,65.5833,-171,-3.98,71,45,1.43,RU,1619819593
192,lukiv,-1.5746,9.2618,25.79,88,98,1.82,GA,1619819596
193,kpandae,27.9054,-15.4461,19,59,20,5.14,ES,1619819598
194,bur gabo,12.3429,-83.6712,30,66,40,2.06,NI,1619819601
195,alihe,49.9333,116.8667,1.04,78,7,2.15,RU,1619819603
196,viedma,71.6872,128.8694,-0.58,83,99,1.36,RU,1619819606
197,salamanca,39.497,45.9731,17,72,75,4.12,AM,1619819608
198,jiddah,-36.777,-59.8585,13.8,78,0,3.24,AR,1619819611
199,broken hill,-23.1322,-64.326,22.22,65,11,0.74,AR,1619819613
200,mar del plata,-16.4833,-151.75,26.7,74,100,0.6,PF,1619819615
201,grand river south east,22.1461,-80.4356,30,66,3,6.69,CU,1619819620
202,tanabi,-37.8333,140.7667,14,51,100,4.63,AU,1619819434
203,alappuzha,-14.0833,-70.4333,4.41,79,88,1.84,PE,1619819625
204,te anau,38.5167,-28.7,15.7,75,98,4.06,PT,1619819627
205,north bend,66.0449,-17.3389,0,93,90,5.14,IS,1619819630
206,lavrentiya,4.4148,114.0089,25,94,40,1.54,MY,1619819632
207,omboue,-20.3428,57.7575,25.56,83,40,5.14,MU,1619819635
208,aguimes,39.05,-27.9833,14.96,68,100,2.99,PT,1619819637
209,laguna de perlas,60.9167,-46.05,12,28,7,12.35,GL,1619819642
210,dauriya,16.5167,-90.6439,36.99,30,51,2.01,MX,1619819644
211,tiksi,28.6585,-17.9182,19,59,75,7.72,ES,1619819647
212,brnakot,28.1667,94.7667,19.87,64,97,0.81,IN,1619819649
213,azul,-28.7667,114.6,11,66,52,4.12,AU,1619819652
214,san ramon de la nueva oran,-20.4081,57.7,25,83,40,5.14,MU,1619819654
215,faanui,65.8167,87.9833,1.4,82,100,6.22,RU,1619819657
216,nizhneyansk,69.7008,170.3133,-7.79,86,100,6.26,RU,1619819659
217,cienfuegos,47.6666,-52.7314,5,81,75,4.12,CA,1619819661
218,mount gambier,56.1275,46.0072,9.96,69,100,9.04,RU,1619819664
219,macusani,-3.6,26.6667,19.98,99,100,0.4,CD,1619819666
220,ribeira grande,-22.116,14.2845,15,89,0,0.89,NA,1619819669
221,husavik,-2.65,10,25.78,89,100,1.58,GA,1619819671
222,miri,13.2833,-88.55,33,55,20,3.6,SV,1619819676
223,bambous virieux,-10.1667,123.5833,24.53,84,100,2.75,ID,1619819678
224,lagoa,-35.2268,173.9474,17.22,85,47,1.34,NZ,1619819681
225,tabiauea,-8.5785,13.6643,26,94,20,2.06,AO,1619819683
226,narsaq,1.7427,98.7792,24.4,85,99,1.45,ID,1619819686
227,benemerito de las americas,20.8667,-90.4,29.19,67,73,6.78,MX,1619819688
228,los llanos de aridane,33.7333,135.3667,15.78,59,65,3.17,JP,1619819691
229,along,-20.3667,14.9667,19.96,33,0,0.94,NA,1619819693
230,geraldton,-3.6954,128.1814,27.66,76,87,1.58,ID,1619819695
231,mahebourg,6.1333,102.2386,26,89,20,2.06,MY,1619819698
232,turukhansk,-3.945,122.4989,23.3,87,67,0.62,ID,1619819700
233,pevek,43.2686,-7.5406,11,76,75,2.57,ES,1619819706
234,torbay,57.5613,62.7568,0.83,60,18,2.04,RU,1619819710
235,vasilsursk,60.7161,-135.0538,10,34,75,6.17,CA,1619819715
236,kampene,35.1333,140.3,17.22,82,20,3.09,JP,1619819718
237,henties bay,-34.4833,-54.3333,14.36,79,55,2.21,UY,1619819720
238,gamba,37.4636,-122.4286,20.56,87,75,5.66,US,1619819725
239,mahaicony,5.3833,-52.95,24,92,100,3.7,GF,1619819727
240,puerto el triunfo,-23.7,133.8833,9,61,60,2.57,AU,1619819730
241,kupang,-11.0964,-77.6139,20.84,79,19,3.92,PE,1619819732
242,kerikeri,42.8,93.45,21.73,13,16,2.93,CN,1619819737
243,caxito,27.181,31.1837,31,19,0,5.14,EG,1619819739
244,sibolga,31.3411,69.4481,20.44,41,44,1.03,PK,1619819742
245,celestun,-25.2986,152.8535,18.33,96,99,2.24,AU,1619819744
246,tanabe,10.5669,72.642,28.85,75,11,3.3,IN,1619819749
247,khorixas,-1.6195,11.6068,21.42,97,100,0.21,GA,1619819751
248,ambon,-5.5667,-46.7422,22.63,96,77,1.63,BR,1619819754
249,kota bahru,8.4054,48.4845,23.66,80,100,3.04,SO,1619819756
250,kendari,37.4725,-4.4421,13.89,74,77,0.89,ES,1619819758
251,bereda,18.55,-88.25,31.11,66,40,5.14,MX,1619819761
252,lugovskiy,66.5,25.7167,-6,73,0,2.57,FI,1619819763
253,zaykovo,20.7,-105.2,27,74,40,6.17,MX,1619819766
254,toliary,58.8053,-122.7002,14,30,75,5.14,CA,1619819768
255,whitehorse,66.1451,-65.7125,0,93,75,4.63,CA,1619819771
256,katsuura,34.6391,-120.4579,20.56,67,40,4.63,US,1619819773
257,rocha,50.1186,-5.5371,5,81,8,3.92,GB,1619819776
258,tsihombe,64.1835,-51.7216,2,100,10,2.57,GL,1619819778
259,half moon bay,46.5389,138.3297,5.13,71,100,1.16,RU,1619819780
260,sinnamary,5.6667,73,28.49,75,69,2.72,MV,1619819783
261,alice springs,-13.6833,48.45,23.68,92,10,1.51,MG,1619819785
262,hualmay,34.8014,-106.5436,25,20,20,2.06,US,1619819788
263,illoqqortoormiut,44.3683,-100.351,27.22,31,1,8.75,US,1619819790
264,hami,-34.5833,150.8552,15,92,1,0.45,AU,1619819793
265,asyut,53.4106,-2.9779,9,76,20,2.57,GB,1619819795
266,zhob,-9.6658,-35.7353,26,83,40,4.12,BR,1619819583
267,hervey bay,-8.1167,34.25,17.38,94,64,1.11,TZ,1619819800
268,warqla,29.4333,-110.4,33.89,19,0,3.58,MX,1619819802
269,kavaratti,58.4497,92.1703,1.7,95,22,2.82,RU,1619819805
270,mimongo,2.6708,72.8944,28.22,71,4,1.32,MV,1619819807
271,amarante do maranhao,61.2767,108.0108,0.92,88,100,3.44,RU,1619819812
272,garowe,36.2126,57.6819,18.85,57,85,5.83,IR,1619819814
273,cabra,53.6167,109.6167,1.56,66,100,1.07,RU,1619819817
274,calderitas,4.1363,96.1285,24.71,88,60,1.56,ID,1619819819
275,rovaniemi,-25.1667,45.05,21.46,75,7,2.06,MG,1619819822
276,ixtapa,37.7333,-25.6667,14,72,20,1.54,PT,1619819824
277,fort nelson,41.3712,-73.414,18,27,1,9.26,US,1619819827
278,pangnirtung,27.9769,-114.0611,29.33,25,0,6.87,MX,1619819829
279,lompoc,-30.1811,-50.2056,20.43,72,0,6.8,BR,1619819832
280,penzance,51.392,109.8717,-0.51,69,100,1.62,RU,1619819834
281,nuuk,1.55,110.3333,23,100,20,1.03,MY,1619819836
282,svetlaya,-41.8697,-73.8203,13.33,100,90,6.69,CL,1619819839
283,ugoofaaru,42.8675,130.3581,5.47,73,86,1.1,CN,1619819841
284,ambanja,66.7697,123.3711,-0.85,91,100,2.83,RU,1619819844
285,meadow lake,40.5982,-124.1573,18.33,88,1,7.72,US,1619819846
286,pierre,60.4667,166.1,-3.43,86,39,4.2,RU,1619819849
287,flinders,-20.9719,-46.1189,17.6,71,58,2.03,BR,1619819851
288,liverpool,52.0596,19.1997,5.56,96,92,1.68,PL,1619819854
289,maceio,-20.0637,30.8277,17.54,81,88,0.76,ZW,1619819856
290,dunda,-21.5333,21.9333,17.6,46,11,5.49,BW,1619819858
291,ures,28.017,-97.5169,24.44,88,90,6.69,US,1619819861
292,yeniseysk,33.194,-82.5271,26,31,1,6.17,US,1619819863
293,kudahuvadhoo,39.328,-120.1833,22.78,19,98,1.34,US,1619819585
294,vaitupu,25.0213,37.2685,29.67,35,0,1.97,SA,1619819870
295,yerbogachen,10.9995,122.6711,24.5,78,100,2.16,PH,1619819873
296,sabzevar,56.6745,12.8568,7,70,75,2.06,SE,1619819875
297,barguzin,-2.0226,147.2712,27.83,73,92,0.87,PG,1619819878
298,meulaboh,36.0986,120.3719,6,87,0,3,CN,1619819880
299,beloha,69.3833,178.4167,-7.91,92,100,10.51,RU,1619819883
300,ponta delgada,-19.7697,-43.8514,22,64,0,4.63,BR,1619819885
301,bethel,68.1214,13.5031,0,69,40,3.6,NO,1619819887
302,guerrero negro,10.1755,-70.0827,24.65,76,99,2.21,VE,1619819890
303,cidreira,10.6167,104.1833,25,94,40,1.54,KH,1619819892
304,bada,59.3833,143.3,-0.05,79,100,1.59,RU,1619819895
305,kuching,64.3833,-173.3,-1.17,60,99,0.94,RU,1619819897
306,ancud,30.5667,79.5667,12.09,64,45,3.59,IN,1619819900
307,hunchun,77.484,-69.3632,0.1,67,96,2.86,GL,1619819902
308,zhigansk,-32.035,-52.0986,19.44,81,0,0.45,BR,1619819905
309,fortuna,51.55,-9.2667,5,87,75,0.51,IE,1619819907
310,tilichiki,18.0384,-71.744,28.15,65,12,2.77,DO,1619819910
311,carmo do rio claro,-19.6772,-51.1908,24.69,35,100,3.04,BR,1619819912
312,leczyca,14.3122,121.1114,28,74,75,1.54,PH,1619819915
313,masvingo,30.3833,113.4,20.06,81,0,1.42,CN,1619819917
314,dekar,60.8697,60.4153,-2.11,67,12,1.69,RU,1619819920
315,san patricio,46.6806,113.2792,-0.55,86,26,4.58,MN,1619819922
316,avera,35.174,-2.9287,15,77,0,2.06,MA,1619819924
317,truckee,44.85,34.9667,12.77,80,44,1.11,UA,1619819927
318,saleaula,33.7667,130.4667,17.22,77,75,7.72,JP,1619819929
319,umm lajj,-5.1347,-49.3267,24,88,75,1.01,BR,1619819932
320,dingle,63.7506,-68.5145,2,75,90,7.72,CA,1619819934
321,halmstad,17.65,83.2667,28,83,20,1.03,IN,1619819693
322,lorengau,-15.8631,-38.8828,23,83,75,3.09,BR,1619819939
323,qingdao,7.7029,27.9953,25.46,64,74,1.8,SS,1619819941
324,leningradskiy,47.6167,-57.6152,3.55,96,100,10.91,CA,1619819944
325,santa luzia,39.7432,98.5174,16.67,12,100,2.05,CN,1619819946
326,gravdal,67.45,153.6833,-5.91,82,10,4.33,RU,1619819949
327,carora,-17.5667,-149.8667,30,70,75,1.54,PF,1619819951
328,kampot,65.6118,72.6842,-1.27,90,100,6.62,RU,1619819954
329,okhotsk,-8.2686,-72.7439,26.98,66,52,0.66,BR,1619819956
330,provideniya,-6.1349,12.3689,26.24,86,90,2.19,AO,1619819959
331,joshimath,45.5234,-122.6762,21,49,75,2.57,US,1619819880
332,qaanaaq,69.1933,33.2531,-6,58,0,1,RU,1619819963
333,rio grande,52.9041,56.3933,5.46,76,43,2.06,RU,1619819968
334,skibbereen,4.8845,-1.7554,27.8,78,78,2.89,GH,1619819970
335,pedernales,16.1307,119.7824,27.1,74,86,1.37,PH,1619819973
336,paranaiba,50.9832,-118.2023,16,59,75,3.09,CA,1619819942
